Date,Open,High,Low,Close,Adj Close,Volume
2018-09-27,123.220001,123.709999,122.800003,122.940002,122.940002,20600
2018-09-28,121.629997,122.660004,121.629997,122.160004,122.160004,14500
2018-10-01,124.099998,124.099998,123.440002,123.610001,123.610001,13100
2018-10-02,122.870003,123.370003,122.779999,123.019997,123.019997,22700
2018-10-03,123.470001,123.989998,122.980003,123.489998,123.489998,33700
2018-10-04,121.709999,121.779999,119.949997,120.459999,120.459999,22900
2018-10-05,119.610001,120.099998,118.949997,119.589996,119.589996,25100
2018-10-08,117.980003,119.000000,117.879997,118.870003,118.870003,16400
2018-10-09,115.849998,117.720001,115.820000,117.410004,117.410004,30100
2018-10-10,113.440002,113.440002,111.410004,111.550003,111.550003,44900
2018-10-11,112.379997,112.720001,110.449997,111.279999,111.279999,32800
2018-10-12,112.870003,112.870003,110.470001,111.699997,111.699997,44800
2018-10-15,112.470001,113.309998,112.379997,112.959999,112.959999,32300
2018-10-16,114.980003,116.150002,114.980003,116.150002,116.150002,30100
2018-10-17,116.839996,117.050003,115.919998,116.309998,116.309998,26800
2018-10-18,115.010002,115.410004,113.260002,113.389999,113.389999,20800
2018-10-19,117.379997,117.650002,116.260002,116.709999,116.709999,20400
2018-10-22,114.940002,115.379997,114.260002,115.199997,115.199997,31400
2018-10-23,113.629997,114.750000,112.760002,114.470001,114.470001,46500
2018-10-24,115.910004,116.309998,113.440002,113.440002,113.440002,22400
2018-10-25,115.570000,118.279999,115.570000,117.790001,117.790001,22000
2018-10-26,115.459999,116.910004,114.129997,116.190002,116.190002,17400
2018-10-29,117.150002,117.599998,115.489998,116.199997,116.199997,23900
2018-10-30,115.099998,115.809998,114.339996,115.230003,115.230003,22200
2018-10-31,117.930000,118.580002,117.570000,117.889999,117.889999,33300
2018-11-01,116.730003,117.550003,116.120003,116.690002,116.690002,36500
2018-11-02,118.320000,118.980003,117.389999,118.230003,118.230003,51800
2018-11-05,117.510002,118.660004,117.260002,118.300003,118.300003,162400
2018-11-06,116.849998,118.190002,116.769997,118.010002,118.010002,176000
2018-11-07,116.050003,116.050003,113.949997,114.510002,114.510002,81200
2018-11-08,115.580002,115.580002,113.959999,114.120003,114.120003,32600
2018-11-09,115.339996,116.120003,115.050003,116.099998,116.099998,57100
2018-11-12,114.070000,114.070000,113.360001,113.660004,113.660004,221100
2018-11-13,115.389999,116.970001,115.190002,116.260002,116.260002,81800
2018-11-14,117.639999,117.639999,115.699997,116.540001,116.540001,24300
2018-11-15,116.540001,117.540001,115.320000,117.139999,117.139999,28900
2018-11-16,115.739998,117.300003,115.739998,117.029999,117.029999,14200
2018-11-19,115.830002,115.900002,114.269997,114.349998,114.349998,43200
2018-11-20,112.070000,114.129997,112.070000,113.150002,113.150002,32500
2018-11-21,115.000000,116.769997,115.000000,116.339996,116.339996,35000
2018-11-23,113.940002,114.949997,113.849998,114.800003,114.800003,12400
2018-11-26,113.870003,113.870003,112.510002,113.070000,113.070000,28500
2018-11-27,112.820000,112.849998,112.220001,112.610001,112.610001,20100
2018-11-28,112.110001,114.139999,112.000000,113.949997,113.949997,25800
2018-11-29,113.180000,113.290001,112.339996,112.849998,112.849998,31100
2018-11-30,110.040001,110.989998,109.550003,110.720001,110.720001,22200
2018-12-03,112.690002,112.830002,112.150002,112.239998,112.239998,34700
2018-12-04,113.199997,113.209999,110.529999,110.639999,110.639999,27100
2018-12-06,110.080002,111.500000,109.570000,110.589996,110.589996,123900
2018-12-07,113.010002,113.220001,110.620003,111.129997,111.129997,47300
2018-12-10,110.680000,110.790001,109.180000,110.019997,110.019997,59400
2018-12-11,112.120003,112.169998,111.190002,111.860001,111.860001,51100
2018-12-12,112.949997,113.699997,112.809998,113.110001,113.110001,58600
2018-12-13,113.570000,113.900002,113.139999,113.500000,113.500000,32800
2018-12-14,110.779999,110.779999,109.750000,109.750000,109.750000,39800
2018-12-17,106.790001,106.849998,104.879997,105.300003,105.300003,162500
2018-12-18,107.050003,107.129997,105.480003,105.720001,105.720001,65400
2018-12-19,106.559998,107.349998,104.919998,105.410004,105.410004,52500
2018-12-20,105.139999,105.419998,104.089996,104.559998,104.559998,58400
2018-12-21,105.190002,105.500000,103.739998,103.739998,103.739998,78400
2018-12-24,104.099998,104.900002,102.949997,103.989998,103.989998,26000
2018-12-26,103.000000,105.000000,101.980003,104.809998,104.809998,57900
2018-12-27,102.599998,103.629997,101.480003,103.500000,103.500000,62200
2018-12-28,104.550003,104.800003,103.900002,104.349998,104.349998,43500
2018-12-31,104.599998,105.050003,104.190002,104.339996,104.339996,120000
2019-01-02,105.419998,105.559998,104.449997,104.889999,104.889999,33000
2019-01-03,105.809998,105.889999,104.510002,104.529999,104.529999,82000
2019-01-04,107.550003,109.190002,107.550003,108.779999,108.779999,69700
2019-01-07,108.610001,109.180000,108.419998,109.099998,109.099998,82900
2019-01-08,111.620003,111.889999,111.040001,111.320000,111.320000,62800
2019-01-09,112.250000,112.510002,111.099998,112.099998,112.099998,33000
2019-01-10,112.339996,112.800003,111.900002,112.639999,112.639999,25400
2019-01-11,112.470001,113.220001,112.419998,112.900002,112.900002,24100
2019-01-14,112.500000,113.660004,112.500000,113.330002,113.330002,41600
2019-01-15,112.669998,114.010002,112.629997,113.889999,113.889999,69500
2019-01-16,113.000000,113.279999,112.779999,113.019997,113.019997,19200
2019-01-17,113.089996,114.620003,113.089996,114.320000,114.320000,49100
2019-01-18,116.139999,116.750000,115.300003,116.180000,116.180000,42500
2019-01-22,116.720001,117.070000,116.169998,116.279999,116.279999,173000
2019-01-23,117.800003,118.330002,117.419998,118.019997,118.019997,23100
2019-01-24,114.500000,114.900002,113.919998,114.330002,114.330002,66500
2019-01-25,116.639999,116.699997,116.120003,116.400002,116.400002,162400
2019-01-28,115.910004,116.459999,115.739998,116.309998,116.309998,53500
2019-01-29,116.370003,116.919998,116.180000,116.599998,116.599998,198800
2019-01-30,117.449997,118.800003,117.139999,118.470001,118.470001,132700
