Date,Open,High,Low,Close,Adj Close,Volume
2018-09-27,115.190002,116.599998,115.099998,116.040001,115.146835,5195300
2018-09-28,115.650002,117.459999,115.349998,116.940002,116.039909,7366800
2018-10-01,117.279999,117.400002,115.680000,116.239998,115.345291,8643900
2018-10-02,115.550003,117.699997,115.300003,117.660004,116.754372,6441700
2018-10-03,117.949997,118.099998,116.739998,116.910004,116.010139,6111700
2018-10-04,117.000000,117.169998,115.120003,116.129997,115.236137,6442800
2018-10-05,116.000000,116.580002,114.730003,114.779999,113.896530,5835700
2018-10-08,114.830002,116.160004,114.120003,116.019997,115.126984,5652300
2018-10-09,116.620003,117.769997,116.040001,116.889999,115.990295,6761400
2018-10-10,116.839996,117.230003,112.730003,112.860001,111.991310,9006500
2018-10-11,112.500000,113.250000,110.320000,111.150002,110.294472,10045400
2018-10-12,111.970001,113.269997,111.230003,112.610001,111.743233,5963900
2018-10-15,111.930000,114.620003,111.889999,113.440002,112.566849,6628800
2018-10-16,114.339996,116.370003,113.839996,116.190002,115.295685,7619000
2018-10-17,116.099998,117.220001,115.430000,117.129997,116.228439,7120600
2018-10-18,116.750000,117.129997,115.580002,116.180000,115.285759,6056300
2018-10-19,117.419998,119.169998,117.220001,118.900002,117.984825,10431000
2018-10-22,119.050003,119.690002,117.720001,118.269997,117.359665,8406400
2018-10-23,116.949997,118.489998,115.410004,117.849998,116.942902,8607400
2018-10-24,117.059998,117.059998,111.250000,111.610001,110.750931,11630500
2018-10-25,112.620003,114.690002,112.120003,114.160004,113.281311,7406900
2018-10-26,112.839996,114.139999,112.099998,113.190002,112.318771,7984700
2018-10-29,114.449997,114.940002,111.959999,113.040001,112.169930,9234100
2018-10-30,113.389999,114.889999,112.410004,114.760002,113.876686,7365400
2018-10-31,116.230003,116.519997,114.680000,114.830002,113.946152,9196700
2018-11-01,115.199997,116.279999,114.900002,116.099998,115.206375,6779900
2018-11-02,116.830002,116.949997,114.370003,115.180000,114.293457,6377900
2018-11-05,115.739998,116.220001,115.120003,115.449997,114.561371,7920800
2018-11-06,115.739998,116.839996,115.449997,116.709999,115.811676,5036600
2018-11-07,116.570000,117.290001,115.160004,117.050003,116.149063,8249800
2018-11-08,117.449997,117.830002,115.209999,116.000000,115.107140,11074800
2018-11-09,118.199997,120.199997,117.180000,118.000000,117.091751,16878200
2018-11-12,118.000000,118.459999,116.599998,116.699997,115.801750,9170600
2018-11-13,117.110001,117.779999,116.180000,116.849998,115.950600,4650600
2018-11-14,117.440002,118.220001,116.440002,117.120003,116.218521,7109100
2018-11-15,116.489998,117.430000,115.699997,117.110001,116.208603,7088700
2018-11-16,116.529999,117.339996,115.989998,116.190002,115.295685,7141900
2018-11-19,116.000000,117.830002,114.790001,115.419998,114.531609,9714600
2018-11-20,113.519997,114.589996,111.519997,111.870003,111.008934,11194600
2018-11-21,112.500000,113.989998,112.300003,113.029999,112.160004,7242500
2018-11-23,112.239998,112.790001,111.739998,112.080002,111.217316,3242300
2018-11-26,113.180000,113.180000,111.919998,112.550003,111.683701,7002400
2018-11-27,113.610001,114.099998,112.410004,113.900002,113.023308,7357500
2018-11-28,114.320000,116.300003,114.050003,116.099998,115.206375,9039800
2018-11-29,115.750000,117.139999,115.209999,116.610001,115.712448,10834700
2018-11-30,116.839996,117.070000,115.059998,115.489998,114.601067,16857800
2018-12-03,116.650002,116.919998,114.910004,115.739998,114.849144,9273300
2018-12-04,115.620003,116.290001,112.660004,112.870003,112.001236,10806700
2018-12-06,112.059998,114.339996,111.160004,114.330002,113.449997,10546200
2018-12-07,113.860001,113.989998,111.610001,111.980003,111.980003,8305500
2018-12-10,111.989998,112.290001,109.529999,111.860001,111.860001,7337500
2018-12-11,112.970001,113.720001,111.430000,111.970001,111.970001,6861800
2018-12-12,113.000000,113.980003,112.150002,112.209999,112.209999,7723900
2018-12-13,112.870003,113.599998,112.339996,113.389999,113.389999,6661500
2018-12-14,112.370003,113.919998,112.050003,112.199997,112.199997,7601900
2018-12-17,112.290001,112.889999,110.029999,110.620003,110.620003,7731800
2018-12-18,110.870003,111.080002,108.900002,109.449997,109.449997,6682300
2018-12-19,110.000000,112.129997,108.949997,109.220001,109.220001,9416900
2018-12-20,108.750000,109.209999,106.129997,107.000000,107.000000,9387300
2018-12-21,106.470001,108.750000,103.860001,104.220001,104.220001,15530600
2018-12-24,103.230003,103.900002,100.349998,100.349998,100.349998,7133000
2018-12-26,100.489998,105.849998,100.379997,105.830002,105.830002,9422800
2018-12-27,104.410004,106.550003,102.800003,106.519997,106.519997,8201400
2018-12-28,107.279999,108.519997,106.190002,107.300003,107.300003,7620500
2018-12-31,109.110001,109.669998,107.550003,109.650002,109.650002,7241700
2019-01-02,108.099998,109.139999,107.730003,108.970001,108.970001,9723500
2019-01-03,108.480003,108.650002,105.940002,106.330002,106.330002,10594700
2019-01-04,107.940002,110.750000,107.250000,109.610001,109.610001,10122800
2019-01-07,109.910004,111.400002,109.300003,110.559998,110.559998,6714700
2019-01-08,111.800003,112.559998,111.169998,111.419998,111.419998,8730700
2019-01-09,111.800003,112.800003,111.559998,112.669998,112.669998,5931900
2019-01-10,111.989998,112.910004,111.500000,112.800003,112.800003,6160100
2019-01-11,112.180000,112.919998,111.730003,112.650002,112.650002,4819100
2019-01-14,111.650002,112.699997,111.430000,112.419998,112.419998,6980600
2019-01-15,112.300003,113.180000,110.610001,111.760002,111.760002,9800900
2019-01-16,111.449997,112.010002,110.809998,110.910004,110.910004,5899900
2019-01-17,110.720001,111.260002,110.160004,111.010002,111.010002,6392000
2019-01-18,111.860001,111.930000,110.830002,111.040001,111.040001,8554700
2019-01-22,110.620003,111.330002,109.750000,110.599998,110.599998,6986700
2019-01-23,111.190002,111.839996,110.000000,111.120003,111.120003,6845600
2019-01-24,111.000000,111.110001,109.930000,110.550003,110.550003,6716800
2019-01-25,111.470001,111.500000,110.660004,111.089996,111.089996,5706900
2019-01-28,110.760002,110.989998,109.949997,110.809998,110.809998,6178800
2019-01-29,110.650002,110.930000,110.000000,110.900002,110.900002,5253700
2019-01-30,110.300003,110.580002,108.959999,110.129997,110.129997,7853800
2019-01-31,110.099998,111.540001,110.010002,111.519997,111.519997,8351600
2019-02-01,111.970001,112.050003,110.930000,111.300003,111.300003,6557700
2019-02-04,111.410004,111.980003,110.680000,111.800003,111.800003,7037000
2019-02-05,112.019997,112.739998,111.449997,112.660004,112.660004,13619800
2019-02-06,113.849998,113.919998,111.070000,111.410004,111.410004,14229000
2019-02-07,111.050003,111.110001,109.809998,110.949997,110.949997,8658100
2019-02-08,110.459999,111.540001,110.059998,111.510002,111.510002,6395500
2019-02-11,111.769997,111.809998,109.250000,109.440002,109.440002,11086400
2019-02-12,110.209999,110.830002,109.150002,109.199997,109.199997,7610200
2019-02-13,109.239998,110.480003,109.230003,110.199997,110.199997,6919700
2019-02-14,109.849998,111.500000,109.540001,110.660004,110.660004,6324300
2019-02-15,111.400002,112.629997,111.029999,112.589996,112.589996,8197300
2019-02-19,112.910004,113.769997,112.830002,113.510002,113.510002,8169600
2019-02-20,113.599998,114.089996,113.290001,113.680000,113.680000,7081500
2019-02-21,113.400002,114.540001,112.870003,114.290001,114.290001,9480100
2019-02-22,114.629997,115.769997,113.949997,115.250000,115.250000,8734700
2019-02-25,115.620003,115.800003,113.459999,113.589996,113.589996,9327700
2019-02-26,113.650002,114.010002,112.849998,113.500000,113.500000,8956000
2019-02-27,113.099998,113.510002,112.459999,112.779999,112.779999,7249500
2019-02-28,112.900002,113.430000,112.750000,112.839996,112.839996,6716700
2019-03-01,113.449997,114.440002,113.449997,114.010002,114.010002,6996900
2019-03-04,114.419998,114.419998,113.089996,114.330002,114.330002,6015000
2019-03-05,114.230003,114.540001,113.760002,114.000000,114.000000,5225100
2019-03-06,114.000000,115.050003,114.000000,114.849998,114.849998,7352800
2019-03-07,114.849998,114.900002,113.470001,114.010002,114.010002,6324000
2019-03-08,113.459999,113.839996,112.900002,113.809998,113.809998,6549100
2019-03-11,114.040001,115.000000,114.029999,114.750000,114.750000,6952700
2019-03-12,114.720001,115.300003,114.040001,114.730003,114.730003,9920300
2019-03-13,114.839996,114.849998,113.720001,114.089996,114.089996,17994500
2019-03-14,114.120003,114.769997,113.930000,114.480003,114.480003,17409600
2019-03-15,114.500000,115.480003,113.680000,114.959999,114.959999,14932700
2019-03-18,113.029999,114.000000,112.459999,113.120003,113.120003,21769800
2019-03-19,112.949997,113.709999,109.800003,110.000000,110.000000,45384400
2019-03-20,110.309998,110.879997,108.050003,109.989998,109.989998,35588700
2019-03-21,110.099998,110.150002,108.370003,108.660004,108.660004,27438900
2019-03-22,108.330002,109.000000,107.510002,108.230003,108.230003,24133800
2019-03-25,108.489998,109.070000,107.320000,107.790001,107.790001,18187500
2019-03-26,108.400002,110.339996,108.269997,110.139999,110.139999,16693100
2019-03-27,110.449997,111.089996,109.730003,110.279999,110.279999,10638400
