Date,Open,High,Low,Close,Adj Close,Volume
2018-09-27,26418.269531,26557.009766,26379.949219,26439.929688,26439.929688,226350000
2018-09-28,26407.660156,26515.759766,26383.570313,26458.310547,26458.310547,264030000
2018-10-01,26598.359375,26737.980469,26596.050781,26651.210938,26651.210938,238320000
2018-10-02,26648.910156,26824.779297,26627.660156,26773.939453,26773.939453,258290000
2018-10-03,26833.470703,26951.810547,26789.080078,26828.390625,26828.390625,280130000
2018-10-04,26784.080078,26793.820313,26471.609375,26627.480469,26627.480469,289600000
2018-10-05,26632.769531,26676.160156,26301.810547,26447.050781,26447.050781,267100000
2018-10-08,26399.449219,26529.349609,26223.089844,26486.779297,26486.779297,273020000
2018-10-09,26469.189453,26539.939453,26324.160156,26430.570313,26430.570313,282560000
2018-10-10,26441.730469,26487.869141,25567.099609,25598.740234,25598.740234,438200000
2018-10-11,25518.390625,25683.640625,24899.769531,25052.830078,25052.830078,522880000
2018-10-12,25407.630859,25467.550781,25000.830078,25339.990234,25339.990234,397510000
2018-10-15,25332.460938,25482.419922,25243.880859,25250.550781,25250.550781,287320000
2018-10-16,25351.529297,25817.679688,25351.529297,25798.419922,25798.419922,305800000
2018-10-17,25705.869141,25810.089844,25479.160156,25706.679688,25706.679688,298210000
2018-10-18,25645.560547,25691.460938,25236.009766,25379.449219,25379.449219,328020000
2018-10-19,25421.089844,25608.710938,25350.019531,25444.339844,25444.339844,350810000
2018-10-22,25492.140625,25561.339844,25236.050781,25317.410156,25317.410156,314940000
2018-10-23,25038.460938,25307.699219,24768.789063,25191.429688,25191.429688,436430000
2018-10-24,25172.880859,25306.230469,24533.189453,24583.419922,24583.419922,496400000
2018-10-25,24736.539063,25104.289063,24645.560547,24984.550781,24984.550781,439670000
2018-10-26,24770.250000,24916.160156,24445.189453,24688.310547,24688.310547,505310000
2018-10-29,24818.980469,25040.580078,24122.230469,24442.919922,24442.919922,443850000
2018-10-30,24482.039063,24906.679688,24415.689453,24874.640625,24874.640625,470050000
2018-10-31,25008.820313,25336.550781,25008.820313,25115.759766,25115.759766,448930000
2018-11-01,25142.080078,25396.470703,25108.109375,25380.740234,25380.740234,383970000
2018-11-02,25443.599609,25578.980469,25078.720703,25270.830078,25270.830078,429480000
2018-11-05,25261.470703,25507.349609,25261.470703,25461.699219,25461.699219,334740000
2018-11-06,25452.830078,25651.859375,25444.900391,25635.009766,25635.009766,265450000
2018-11-07,25788.460938,26200.140625,25765.880859,26180.300781,26180.300781,361780000
2018-11-08,26139.589844,26277.820313,26081.900391,26191.220703,26191.220703,295650000
2018-11-09,26149.109375,26161.490234,25882.910156,25989.300781,25989.300781,324450000
2018-11-12,25959.330078,25966.710938,25340.509766,25387.179688,25387.179688,346910000
2018-11-13,25321.210938,25511.029297,25193.779297,25286.490234,25286.490234,339690000
2018-11-14,25388.080078,25501.289063,24935.820313,25080.500000,25080.500000,384240000
2018-11-15,25061.480469,25354.560547,24787.789063,25289.269531,25289.269531,392750000
2018-11-16,25242.349609,25510.230469,25147.800781,25413.220703,25413.220703,354460000
2018-11-19,25392.609375,25392.609375,24900.980469,25017.439453,25017.439453,358090000
